IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.25.250.154,51,70,59,0
172.64.153.210,51,73,61,0
104.25.253.128,47,70,61,0
104.25.251.75,55,79,61,0
104.25.244.152,44,78,62,0
104.25.248.122,52,70,62,0
104.25.245.128,53,73,63,0
104.25.242.233,56,71,64,0
104.25.255.218,53,72,64,0
190.93.245.19,54,76,65,0
104.18.159.196,55,78,65,0
104.25.252.7,61,72,65,0
104.25.249.138,62,77,68,0
104.25.254.213,54,80,69,0
104.17.137.146,51,173,70,0
104.17.208.88,55,187,72,0
104.17.184.114,54,179,73,0
104.18.175.216,57,173,73,0
104.19.216.148,57,173,73,0
104.17.172.230,56,173,74,0
104.17.200.46,53,179,74,0
104.17.128.206,54,186,75,0
104.19.221.8,52,179,75,0
141.101.114.222,53,178,75,0
104.18.88.32,55,192,75,0
104.18.161.37,52,186,75,0
104.18.225.123,54,182,76,0
104.17.207.215,56,183,76,0
104.17.139.241,57,185,76,0
104.18.163.31,58,193,76,0
104.19.208.174,59,185,76,0
104.18.165.179,56,173,77,0
104.17.133.132,58,177,78,0
104.17.111.108,56,182,78,0
104.17.105.86,58,197,78,0
104.18.91.79,56,186,79,0
104.18.94.58,49,180,80,0
104.17.98.170,55,201,81,0
104.17.196.124,51,175,81,0
190.93.247.249,52,176,82,0
104.18.87.249,53,179,82,0
104.19.152.254,51,178,82,0
104.18.95.197,52,187,83,0
104.18.83.155,50,177,83,0
104.18.237.174,50,183,83,0
104.17.169.158,55,175,84,0
104.19.145.90,48,175,84,0
104.17.199.148,55,181,84,0
104.17.209.163,51,183,84,0
104.19.148.92,53,181,84,0
104.17.129.158,55,174,85,0
104.17.102.186,49,188,85,0
104.17.57.17,55,197,85,0
104.18.154.151,52,189,85,0
104.18.80.46,51,189,85,0
104.17.193.111,51,179,85,0
104.18.174.133,51,185,85,0
104.19.151.105,52,185,86,0
104.18.235.0,54,176,86,0
104.17.104.69,58,178,86,0
104.18.224.92,58,180,86,0
104.17.185.234,54,177,86,0
104.18.238.138,51,184,86,0
104.19.158.96,53,193,86,0
104.16.253.223,55,182,87,0
104.19.157.100,52,184,87,0
104.17.202.240,55,195,87,0
104.17.163.75,55,183,87,0
104.17.160.212,58,182,87,0
104.17.203.117,59,179,88,0
104.17.55.42,55,189,88,0
104.18.81.155,56,184,88,0
104.18.153.238,61,189,88,0
104.18.231.25,56,188,88,0
104.17.206.102,55,204,89,0
104.17.212.59,63,181,90,0
104.17.176.32,60,189,90,0
104.18.89.240,61,186,90,0
104.18.230.67,61,189,91,0
104.17.138.60,59,192,92,0
104.17.143.181,62,192,92,0
104.17.175.14,55,176,93,0
104.19.159.124,48,186,93,0
104.19.219.243,50,176,94,0
104.18.151.101,49,183,94,0
104.18.169.234,50,180,94,0
104.17.204.17,52,189,96,0
104.17.56.137,53,186,97,0
104.19.217.206,52,190,97,0
104.18.228.217,56,184,97,0
104.18.147.224,56,189,97,0
104.17.142.237,56,190,98,0
104.17.96.185,48,184,98,0
104.17.48.27,54,184,98,0
104.18.166.251,54,183,98,0
104.17.58.6,52,199,99,0
104.17.166.247,57,178,99,0
104.18.227.169,59,192,100,0
104.16.242.188,56,191,100,0
104.18.234.254,58,188,100,0
104.17.181.155,56,195,100,0
104.17.174.153,56,196,101,0
104.17.101.172,59,186,101,0
104.18.162.156,56,182,101,0
104.19.220.159,59,194,103,0
104.17.220.41,55,193,104,0
104.19.212.77,52,183,105,0
104.18.239.112,51,182,105,0
104.19.213.89,51,185,106,0
104.16.245.78,55,185,106,0
